Date;Price;Change %
Jan 30/2006;12.39;3.51%
Jan 27/2006;11.97;-3.62%
Jan 26/2006;12.42;-3.50%
Jan 25/2006;12.87;-3.31%
Jan 24/2006;13.31;-4.45%
Jan 23/2006;13.93;-4.33%
Jan 20/2006;14.56;21.54%
Jan 19/2006;11.98;-2.20%
Jan 18/2006;12.25;2.85%
Jan 17/2006;11.91;6.06%
Jan 13/2006;11.23;0.27%
Jan 12/2006;11.20;2.38%
Jan 11/2006;10.94;0.74%
Jan 10/2006;10.86;-2.43%
Jan 09/2006;11.13;1.18%
Jan 06/2006;11.00;-2.74%
Jan 05/2006;11.31;-0.53%
Jan 04/2006;11.37;2.06%
Jan 03/2006;11.14;-7.71%
Dec 30/2005;12.07;3.96%
Dec 29/2005;11.61;2.29%
Dec 28/2005;11.35;-1.90%
Dec 27/2005;11.57;12.66%
Dec 23/2005;10.27;-0.19%
Dec 22/2005;10.29;-4.81%
Dec 21/2005;10.81;-3.40%
Dec 20/2005;11.19;-1.67%
Dec 19/2005;11.38;6.55%
Dec 16/2005;10.68;-0.47%
Dec 15/2005;10.73;2.39%
Dec 14/2005;10.48;-5.67%
Dec 13/2005;11.11;-3.14%
Dec 12/2005;11.47;-1.88%
Dec 09/2005;11.69;-4.26%
Dec 08/2005;12.21;0.25%
Dec 07/2005;12.18;5.73%
Dec 06/2005;11.52;-0.69%
Dec 05/2005;11.60;5.36%
Dec 02/2005;11.01;-2.05%
Dec 01/2005;11.24;-6.80%
Nov 30/2005;12.06;1.43%
Nov 29/2005;11.89;0.42%
Nov 28/2005;11.84;8.82%
Nov 25/2005;10.88;-0.73%
Nov 23/2005;10.96;3.40%
Nov 22/2005;10.60;-2.03%
Nov 21/2005;10.82;-2.70%
Nov 18/2005;11.12;-1.16%
Nov 17/2005;11.25;-8.24%
Nov 16/2005;12.26;0.25%
Nov 15/2005;12.23;0.41%
Nov 14/2005;12.18;4.73%
Nov 11/2005;11.63;-2.27%
Nov 10/2005;11.90;-7.03%
Nov 09/2005;12.80;-2.14%
Nov 08/2005;13.08;-0.15%
Nov 07/2005;13.10;-0.53%
Nov 04/2005;13.17;1.31%
Nov 03/2005;13.00;-3.56%
Nov 02/2005;13.48;-9.23%
Nov 01/2005;14.85;-3.07%
Oct 31/2005;15.32;7.51%
Oct 28/2005;14.25;-11.05%
Oct 27/2005;16.02;9.80%
Oct 26/2005;14.59;0.41%
Oct 25/2005;14.53;-1.42%
Oct 24/2005;14.74;-8.62%
Oct 21/2005;16.13;0.12%
Oct 20/2005;16.11;19.33%
Oct 19/2005;13.50;-11.94%
Oct 18/2005;15.33;4.50%
Oct 17/2005;14.67;-1.34%
Oct 14/2005;14.87;-9.71%
Oct 13/2005;16.47;1.54%
Oct 12/2005;16.22;3.77%
Oct 11/2005;15.63;0.51%
Oct 10/2005;15.55;6.58%
Oct 07/2005;14.59;-2.47%
Oct 06/2005;14.96;2.82%
Oct 05/2005;14.55;10.23%
Oct 04/2005;13.20;5.94%
Oct 03/2005;12.46;4.53%
Sep 30/2005;11.92;-2.61%
Sep 29/2005;12.24;-3.09%
Sep 28/2005;12.63;-1.02%
Sep 27/2005;12.76;-2.15%
Sep 26/2005;13.04;0.62%
Sep 23/2005;12.96;-2.78%
Sep 22/2005;13.33;-3.34%
Sep 21/2005;13.79;9.10%
Sep 20/2005;12.64;4.12%
Sep 19/2005;12.14;8.20%
Sep 16/2005;11.22;-10.17%
Sep 15/2005;12.49;-3.25%
Sep 14/2005;12.91;4.20%
Sep 13/2005;12.39;6.35%
Sep 12/2005;11.65;-2.75%
Sep 09/2005;11.98;-7.35%
Sep 08/2005;12.93;3.27%
Sep 07/2005;12.52;-3.17%
Sep 06/2005;12.93;-4.72%
Sep 02/2005;13.57;3.19%
Sep 01/2005;13.15;4.37%
Aug 31/2005;12.60;-7.69%
Aug 30/2005;13.65;0.96%
Aug 29/2005;13.52;-1.46%
Aug 26/2005;13.72;-0.07%
Aug 25/2005;13.73;-3.11%
Aug 24/2005;14.17;6.22%
Aug 23/2005;13.34;-0.60%
Aug 22/2005;13.42;0.00%
Aug 19/2005;13.42;0.00%
Aug 18/2005;13.42;0.90%
Aug 17/2005;13.30;-1.63%
Aug 16/2005;13.52;10.28%
Aug 15/2005;12.26;-3.77%
Aug 12/2005;12.74;2.58%
Aug 11/2005;12.42;0.32%
Aug 10/2005;12.38;-0.16%
Aug 09/2005;12.40;-6.13%
Aug 08/2005;13.21;5.85%
Aug 05/2005;12.48;-0.32%
Aug 04/2005;12.52;5.83%
Aug 03/2005;11.83;0.68%
Aug 02/2005;11.75;-2.73%
Aug 01/2005;12.08;4.41%
Jul 29/2005;11.57;9.98%
Jul 28/2005;10.52;1.54%
Jul 27/2005;10.36;-5.73%
Jul 26/2005;10.99;-0.99%
Jul 25/2005;11.10;5.51%
Jul 22/2005;10.52;-4.10%
Jul 21/2005;10.97;7.23%
Jul 20/2005;10.23;-2.11%
Jul 19/2005;10.45;-2.97%
Jul 18/2005;10.77;4.26%
Jul 15/2005;10.33;-4.44%
Jul 14/2005;10.81;-0.28%
Jul 13/2005;10.84;-1.00%
Jul 12/2005;10.95;-2.93%
Jul 11/2005;11.28;-1.48%
Jul 08/2005;11.45;-8.33%
Jul 07/2005;12.49;1.79%
Jul 06/2005;12.27;5.05%
Jul 05/2005;11.68;2.46%
Jul 01/2005;11.40;-5.32%
Jun 30/2005;12.04;2.29%
Jun 29/2005;11.77;1.64%
Jun 28/2005;11.58;-7.51%
Jun 27/2005;12.52;2.79%
Jun 24/2005;12.18;0.41%
Jun 23/2005;12.13;9.77%
Jun 22/2005;11.05;-0.27%
Jun 21/2005;11.08;-3.40%
Jun 20/2005;11.47;-0.09%
Jun 17/2005;11.48;2.96%
Jun 16/2005;11.15;-2.71%
Jun 15/2005;11.46;-2.80%
Jun 14/2005;11.79;1.20%
Jun 13/2005;11.65;-2.59%
Jun 10/2005;11.96;-0.99%
Jun 09/2005;12.08;-4.88%
Jun 08/2005;12.70;2.50%
Jun 07/2005;12.39;0.90%
Jun 06/2005;12.28;1.07%
Jun 03/2005;12.15;2.62%
Jun 02/2005;11.84;-4.21%
Jun 01/2005;12.36;-7.00%
May 31/2005;13.29;9.38%
May 27/2005;12.15;-0.74%
May 26/2005;12.24;-2.70%
May 25/2005;12.58;-0.87%
May 24/2005;12.69;-2.01%
May 23/2005;12.95;-1.45%
May 20/2005;13.14;-1.35%
May 19/2005;13.32;-2.27%
May 18/2005;13.63;-6.45%
May 17/2005;14.57;-7.08%
May 16/2005;15.68;-3.92%
May 13/2005;16.32;1.24%
May 12/2005;16.12;11.56%
May 11/2005;14.45;-3.09%
May 10/2005;14.91;8.44%
May 09/2005;13.75;-2.14%
May 06/2005;14.05;0.50%
May 05/2005;13.98;0.94%
May 04/2005;13.85;-4.68%
May 03/2005;14.53;-3.90%
May 02/2005;15.12;-1.24%
Apr 29/2005;15.31;-9.19%
Apr 28/2005;16.86;13.38%
Apr 27/2005;14.87;-0.27%
Apr 26/2005;14.91;1.98%
Apr 25/2005;14.62;-4.94%
Apr 22/2005;15.38;6.73%
Apr 21/2005;14.41;-14.83%
Apr 20/2005;16.92;13.10%
Apr 19/2005;14.96;-9.66%
Apr 18/2005;16.56;-6.65%
Apr 15/2005;17.74;22.09%
Apr 14/2005;14.53;9.17%
Apr 13/2005;13.31;17.79%
Apr 12/2005;11.30;-5.68%
Apr 11/2005;11.98;-5.07%
Apr 08/2005;12.62;2.35%
Apr 07/2005;12.33;-6.24%
Apr 06/2005;13.15;-3.87%
Apr 05/2005;13.68;-3.05%
Apr 04/2005;14.11;0.14%
Apr 01/2005;14.09;0.50%
Mar 31/2005;14.02;2.79%
Mar 30/2005;13.64;-5.87%
Mar 29/2005;14.49;5.38%
Mar 28/2005;13.75;2.46%
Mar 24/2005;13.42;-4.55%
Mar 23/2005;14.06;-1.47%
Mar 22/2005;14.27;4.85%
Mar 21/2005;13.61;3.58%
Mar 18/2005;13.14;-1.13%
Mar 17/2005;13.29;-1.48%
Mar 16/2005;13.49;2.59%
Mar 15/2005;13.15;6.13%
Mar 14/2005;12.39;-3.20%
Mar 11/2005;12.80;2.48%
Mar 10/2005;12.49;-1.65%
Mar 09/2005;12.70;2.42%
Mar 08/2005;12.40;1.14%
Mar 07/2005;12.26;2.68%
Mar 04/2005;11.94;-7.66%
Mar 03/2005;12.93;3.44%
Mar 02/2005;12.50;3.82%
Mar 01/2005;12.04;-0.33%
